icao,iata,name,country,latitude,longitude,elevation_m
LPFR,FAO,Faro,Portugal,37.0144,-7.9659,7
EKCH,CPH,Copenhagen Kastrup,Denmark,55.6180,12.6560,5
EKBI,BLL,Billund,Denmark,55.7403,9.1518,75
ESSA,ARN,Stockholm Arlanda,Sweden,59.6519,17.9186,42
ESGG,GOT,Gothenburg Landvetter,Sweden,57.6628,12.2798,154
ENGM,OSL,Oslo Gardermoen,Norway,60.1939,11.1004,208
ENBR,BGO,Bergen Flesland,Norway,60.2934,5.2181,50
EFHK,HEL,Helsinki Vantaa,Finland,60.3172,24.9633,55
BIKF,KEF,Keflavik,Iceland,63.9850,-22.6056,52
EPWA,WAW,Warsaw Chopin,Poland,52.1657,20.9671,110
EPKK,KRK,Krakow John Paul II,Poland,50.0777,19.7848,241
EPGD,GDN,Gdansk Lech Walesa,Poland,54.3776,18.4662,149
LKPR,PRG,Prague Vaclav Havel,Czechia,50.1008,14.2600,380
LZIB,BTS,Bratislava,Slovakia,48.1702,17.2127,133
LHBP,BUD,Budapest Ferenc Liszt,Hungary,47.4369,19.2556,151
LDZA,ZAG,Zagreb Franjo Tudman,Croatia,45.7429,16.0688,108
LJLJ,LJU,Ljubljana Joze Pucnik,Slovenia,46.2237,14.4576,388
LROP,OTP,Bucharest Henri Coanda,Romania,44.5711,26.0850,96
LBSF,SOF,Sofia,Bulgaria,42.6967,23.4114,531
LGAV,ATH,Athens Eleftherios Venizelos,Greece,37.9364,23.9445,94
LGTS,SKG,Thessaloniki Macedonia,Greece,40.5197,22.9709,7
LTFM,IST,Istanbul,Turkiye,41.2753,28.7519,99
LTBJ,ADB,Izmir Adnan Menderes,Turkiye,38.2924,27.1570,125
LTAI,AYT,Antalya,Turkiye,36.8987,30.8005,54
GCLP,LPA,Gran Canaria,Spain,27.9319,-15.3866,24
GCTS,TFS,Tenerife South,Spain,28.0445,-16.5725,64
EETN,TLL,Tallinn Lennart Meri,Estonia,59.4133,24.8328,40
EVRA,RIX,Riga,Latvia,56.9236,23.9711,10
EYVI,VNO,Vilnius,Lithuania,54.6341,25.2858,197
